StepSize	Euler	Heuns	Ralstons	Runge-Kutta
1.0	0.11111111111111105	0.7006578968000837	0.4732510288065842	0.916237398585287
0.5	0.28395061728395055	0.8928919092801441	0.7088822598144537	0.986680633515487
0.25	0.4724076866575553	0.9745697369250431	0.8761838870514393	0.9986993726432093
0.125	0.6483294311098486	0.9955470678762965	0.958236547835361	0.999903440666293
0.0625	0.7868910583845434	0.9993429944318996	0.9878818593632074	0.9999936151018862
0.03125	0.8802671970014436	0.9999109364015125	0.9967486375687484	0.999999594311793
0.015625	0.9360807098613105	0.9999884125210894	0.9991593709605788	0.9999999745303774
0.0078125	0.9669033210515112	0.999998522489659	0.9997863976519644	0.9999999984062778
0.00390625	0.9831494632380958	0.9999998134727328	0.9999461717396523	0.9999999999003648
0.001953125	0.9914967578488395	0.999999976568515	0.9999864897006285	0.9999999999937644
9.765625E-4	0.9957285699881073	0.999999997063816	0.9999966157862173	0.9999999999996098
4.8828125E-4	0.9978592925095557	0.9999999996325165	0.9999991531176762	0.9999999999999729
2.44140625E-4	0.998928393050294	0.9999999999540478	0.9999997881758838	1.000000000000014
1.220703125E-4	0.9994638825853291	0.9999999999942625	0.9999999470310184	0.9999999999999897
6.103515625E-5	0.9997318627276367	0.9999999999992778	0.999999986756174	0.9999999999999879
3.0517578125E-5	0.9998659117125376	0.9999999999998549	0.999999996688772	0.9999999999999453
1.52587890625E-5	0.9999329509421969	1.000000000000007	0.9999999991721576	1.0000000000000155
7.62939453125E-6	0.9999664742423131	0.9999999999999681	0.9999999997931837	0.9999999999999691
3.814697265625E-6	0.9999832368140754	1.0000000000001141	0.9999999999481385	1.0000000000001141
1.9073486328125E-6	0.999991618330217	0.9999999999999785	0.999999999987154	0.9999999999999785
9.5367431640625E-7	0.9999958091455399	0.9999999999996106	0.9999999999964588	0.9999999999996115
4.76837158203125E-7	0.9999979045680563	1.000000000000694	0.9999999999999305	1.000000000000695
2.384185791015625E-7	0.9999989522829408	0.9999999999996914	0.9999999999994724	0.9999999999996911
1.1920928955078125E-7	0.999999476141359	1.0000000000006097	1.0000000000005678	1.0000000000006095
5.9604644775390625E-8	0.9999997380703253	1.000000000000645	1.0000000000006366	1.000000000000645
